Subject,File Path,Image Description
"DH1386_20230301","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1386_20230301/2023_03_01_dadmah_bb_dh_1386_20230301_121917_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1393_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1393_20230426/2023_04_26_dadmah_dh_1393_20230426_140101_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1393_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1393_20230426/2023_04_26_dadmah_dh_1393_20230426_140101_37d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1393_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1393_20230426/2023_04_26_dadmah_dh_1393_20230426_140101_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1396_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1396_20230426/2023_04_26_dadmah_bb_dh_1396_20230426_154043_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1396_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1396_20230426/2023_04_26_dadmah_bb_dh_1396_20230426_154043_13d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1396_20230426","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1396_20230426/2023_04_26_dadmah_bb_dh_1396_20230426_154043_39d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1399_20230314","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1399_20230314/2023_03_14_dadmah_dh1399_20230314_120614_20d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1399_20230314","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1399_20230314/2023_03_14_dadmah_dh1399_20230314_120614_21d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1403_20221011","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1403_20221011/2022_10_11_dadmah_dh_1403_20221011_153734_11d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1403_20221011","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1403_20221011/2022_10_11_dadmah_dh_1403_20221011_153734_12d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1406_20221003","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1406_20221003/2022_10_03_dadmah_bb_dh_1406_20221003_161251_11d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1406_20221003","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1406_20221003/2022_10_03_dadmah_bb_dh_1406_20221003_161251_12d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1409_20230418","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1409_20230418/2023_04_18_dadmah_bb_dh_1409_20230418_143120_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1416_20230314","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1416_20230314/2023_03_14_dadmah_1416_20230314_150512_23d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1416_20230314","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1416_20230314/2023_03_14_dadmah_1416_20230314_150512_9d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1418_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1418_20230315/2023_03_15_dadmah_bb_dh_1418_20230315_151450_17d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1418_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1418_20230315/2023_03_15_dadmah_bb_dh_1418_20230315_151450_20d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1430_20230913","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1430_20230913/2023_09_13_dadmah_dh_1430_20230913_091823_10d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1430_20230913","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1430_20230913/2023_09_13_dadmah_dh_1430_20230913_091823_9d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1434_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1434_20230315/2023_03_15_dadmah_bb_1434_20230315_164945_17d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1434_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1434_20230315/2023_03_15_dadmah_bb_1434_20230315_164945_24d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1445_20230421","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1445_20230421/2023_04_21_dadmah_bb_dh_1445_20230421_134034_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1445_20230421","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1445_20230421/2023_04_21_dadmah_bb_dh_1445_20230421_134034_21d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1445_20230421","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1445_20230421/2023_04_21_dadmah_bb_dh_1445_20230421_134034_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
